
(-16.41705776237289,-0.00704410388262)
(-16.42840783855203,-0.01969839770214)
(-16.19479402913653,-0.05986199868264)
(-16.32678611634138,-0.07760362435598)
(-16.36925626713719,0.00394869995698)
(-16.40127930466019,0.00850013063000)
(-16.30545184211338,0.06916445615377)
(-16.36903490875301,-0.11545372018596)
(-16.42050580374366,-0.05006495438659)
(-16.40553425824709,0.02145484923165)
(-16.62894196374588,-0.09584494245854)
(-16.33135660669666,-0.00466488671707)
(-16.37962072611462,-0.00120957904851)
(-16.23248758878535,0.01605504152645)
(-16.29789942653236,0.00411268535618)
(-16.27671799581154,-0.10764949592592)
(-16.21160757422344,-0.03889755099442)
(-16.22931861357695,-0.04268958904901)
(-16.47069286366020,0.01932956493746)
(-16.29532193375215,0.06975958998109)
(-16.21076173019267,0.00227491619383)
(-16.48756742836512,0.17789574458592)
(-16.31630752143305,-0.02144423030392)
(-16.24997782191498,-0.01892246677932)
(-16.45367443779027,0.01860418838378)
(-16.39150661684531,0.05993076475497)
(-16.81382320143657,-0.12284662076794)
(-16.22289104031349,-0.00770457166187)
(-16.40159587264225,0.00467693683931)
(-16.50770348477514,-0.07956636800961)
(-17.01408366576037,-0.75493899346874)
(-16.52933963369535,0.08894035628458)
(-16.44044531309389,-0.01896555979076)
(-16.40920759606171,-0.02104387944297)
(-16.36630717809510,0.01200687740670)
(-16.38828664372113,0.00146165585889)
(-16.39583341744976,0.02942583051662)
(-16.11782782436138,-0.04316112114012)
(-16.04100056831522,0.04192866442503)
(-16.27759912936857,0.06885151790618)
(-16.16466907022696,0.04683268949872)
(-16.33292202616413,-0.03660525300259)
(-16.18726799004077,0.00855952119617)
(-16.42545598671404,0.06603774704011)
(-16.42665652277681,-0.03673728931267)
(-16.43972810080075,-0.01499133803338)
(-16.35026053323999,0.01518542812599)
(-16.39495227996474,0.04973810068951)
(-16.37869379971702,0.04227367265224)
(-16.38908213955403,-0.01092534298513)
(-16.33396905909581,-0.01099461581606)
(-16.34554923644410,0.05892880349173)
(-16.27641055126357,0.00451662808847)
(-16.37087489723367,-0.06968501678217)
(-16.43218726473742,0.02358238991392)
(-16.02678892539056,0.10171057218600)
(-16.14930569329051,0.15157402687412)
(-16.11370550214343,0.10841700800691)
(-16.09371548141134,0.08940282999730)
(-16.13840152119081,0.00396431402058)
(-16.24730340600168,-0.00066365787357)
(-16.26510996272553,0.03852786820896)
(-14.37883920093888,1.30964046426687)
(-16.26404201334076,-0.09447043040660)
(-16.30233631348953,-0.02489084336955)
(-16.34813404115646,-0.00255726249042)
(-16.12770947324737,0.04166523559249)
(-16.18122942425160,0.02458806960420)
(-16.12245616062567,-0.02462347442993)
(-16.34079483200150,-0.07803840738346)
(-16.35813057385382,-0.08983066707066)
(-16.36121737985111,-0.03824756620747)
(-15.98205475408090,0.02115044978619)
(-16.29010785472050,-0.00950096862790)
(-16.38514583841695,0.01459274575422)
(-16.37462008073410,0.00444494772257)
(-16.35241803800179,0.01930555575785)
(-16.35634973421201,0.01649664983755)
(-16.38989623463629,-0.08473306229845)
(-16.08953362311612,-0.03388487433309)
(-15.97926623720350,-0.08603031185289)
(-15.68984464332162,-0.12959518142942)
(-16.14907596236095,0.00207398830001)
(-16.42336223996027,-0.01256084420369)
(-16.39636683826628,0.03602484500063)
(-17.49460492361246,0.13715799299506)
(-16.31857204283486,-0.00462935031681)
(-16.32124459774105,0.01831829882279)
(-16.56376788429308,-0.02522655931178)
(-16.40595013191110,-0.09356536634151)
(-16.14401101511986,0.16773319571728)
(-16.28399276957002,0.09729245958586)
(-16.34377977891746,0.03467673933164)
(-16.34742594408883,0.03587994745072)
(-16.36980498699516,-0.01423436918809)
(-16.41106542112475,0.04775629416747)
(-16.22988010118103,0.05436850595273)
(-16.28290926142953,0.14393145387265)
(-16.50000074704280,0.11852639345091)
(-16.28540791840399,-0.02962008077711)
(-16.58694048675188,-0.00873746265193)
(-16.24096869948735,-0.07713468853190)
(-16.25115408189442,0.01504283357917)
(-16.76900930262532,-0.05452786035954)
(-16.52016274155699,-0.04156058436048)
(-16.18605100685818,0.03477181361635)
(-16.20226197918611,-0.12137635063633)
(-16.31787785115603,0.00161854197298)
(-16.37275243846907,0.01110980318477)
(-16.30126389899752,0.04936863117376)
(-16.31258866755044,-0.03754881034606)
(-16.15663262935850,0.00319409917852)
(-16.34429029465660,0.02799030030946)
(-16.38915123007231,0.05464984140455)
(-16.14741439347286,-0.06074941880943)
(-16.50842854576936,0.16019304522408)
(-16.36019625412937,0.02000121229986)
(-16.33300860176733,-0.01581766870865)
(-16.38644427413809,0.01609724507833)
(-16.29872002682450,-0.01094173561800)
(-16.44673824437560,-0.00389916759894)
(-16.37259872122493,0.01634491655235)
(-16.16264061827473,0.06332014447496)
(-16.15090137766384,0.19507441966997)
(-16.13530700543360,0.17022234266100)
(-16.44582322200886,-0.30885334718915)
(-16.42041558873518,-0.04273694173844)
(-16.55569611569956,-0.05415592140025)
(-16.41713780210336,-0.02251697361233)
(-16.41646783015145,-0.00192006341820)
(-16.35213049065306,0.02411408155975)
(-16.37547794724938,-0.03199267806234)
(-16.43567001650984,0.09406644916301)
(-16.60751200781519,0.14829841501955)
(-16.40799628260101,0.00506200231529)
(-16.13594362626034,-0.04083983625011)
(-16.21014636652290,-0.04468516889722)
(-16.41750096962356,-0.12538236959036)
(-16.20531318741833,0.04716608295091)
(-16.21117751286219,0.03496212275223)
(-16.24102730118922,-0.00670317639141)
