    1	    5	    4	   13	   28
    2	    6	    8	   22	   -1
    3	    9	   12	   27	   -1
    7	   11	   16	   29	   -1
   10	   14	   20	   30	   -1
   17	   15	   24	   31	   -1
   -1	   18	   -1	   -1	   -1
   -1	   19	   -1	   -1	   -1
   -1	   21	   -1	   -1	   -1
   -1	   23	   -1	   -1	   -1
   -1	   25	   -1	   -1	   -1
   -1	   26	   -1	   -1	   -1
 
    0	    4	    5	    6	   29
    2	    7	    9	   11	   -1
    3	    8	   13	   12	   -1
   16	   10	   17	   28	   -1
   23	   14	   21	   30	   -1
   26	   15	   25	   31	   -1
   -1	   18	   -1	   -1	   -1
   -1	   19	   -1	   -1	   -1
   -1	   20	   -1	   -1	   -1
   -1	   22	   -1	   -1	   -1
   -1	   24	   -1	   -1	   -1
   -1	   27	   -1	   -1	   -1
 
    0	    4	    6	    5	   30
    1	    7	   10	   19	   -1
    3	    9	   14	   20	   -1
    8	   11	   18	   28	   -1
   15	   12	   22	   29	   -1
   25	   13	   26	   31	   -1
   -1	   16	   -1	   -1	   -1
   -1	   17	   -1	   -1	   -1
   -1	   21	   -1	   -1	   -1
   -1	   23	   -1	   -1	   -1
   -1	   24	   -1	   -1	   -1
   -1	   27	   -1	   -1	   -1
 
    0	    5	    7	    9	   31
    1	    6	   11	   18	   -1
    2	    8	   15	   24	   -1
    4	   10	   19	   28	   -1
   14	   12	   23	   29	   -1
   21	   13	   27	   30	   -1
   -1	   16	   -1	   -1	   -1
   -1	   17	   -1	   -1	   -1
   -1	   20	   -1	   -1	   -1
   -1	   22	   -1	   -1	   -1
   -1	   25	   -1	   -1	   -1
   -1	   26	   -1	   -1	   -1
 
    5	    1	    0	    9	   24
    6	    2	   12	   18	   -1
    7	   13	    8	   31	   -1
    3	   15	   20	   25	   -1
   14	   10	   16	   26	   -1
   21	   11	   28	   27	   -1
   -1	   22	   -1	   -1	   -1
   -1	   23	   -1	   -1	   -1
   -1	   17	   -1	   -1	   -1
   -1	   19	   -1	   -1	   -1
   -1	   29	   -1	   -1	   -1
   -1	   30	   -1	   -1	   -1
 
    4	    0	    1	    2	   25
    6	    3	   13	   15	   -1
    7	   12	    9	    8	   -1
   20	   14	   21	   24	   -1
   19	   10	   17	   26	   -1
   30	   11	   29	   27	   -1
   -1	   22	   -1	   -1	   -1
   -1	   23	   -1	   -1	   -1
   -1	   16	   -1	   -1	   -1
   -1	   18	   -1	   -1	   -1
   -1	   28	   -1	   -1	   -1
   -1	   31	   -1	   -1	   -1
 
    4	    0	    2	    1	   26
    5	    3	   14	   23	   -1
    7	   13	   10	   16	   -1
   12	   15	   22	   24	   -1
   11	    8	   18	   25	   -1
   29	    9	   30	   27	   -1
   -1	   20	   -1	   -1	   -1
   -1	   21	   -1	   -1	   -1
   -1	   17	   -1	   -1	   -1
   -1	   19	   -1	   -1	   -1
   -1	   28	   -1	   -1	   -1
   -1	   31	   -1	   -1	   -1
 
    4	    1	    3	   13	   27
    5	    2	   15	   22	   -1
    6	   12	   11	   28	   -1
    0	   14	   23	   24	   -1
   10	    8	   19	   25	   -1
   17	    9	   31	   26	   -1
   -1	   20	   -1	   -1	   -1
   -1	   21	   -1	   -1	   -1
   -1	   16	   -1	   -1	   -1
   -1	   18	   -1	   -1	   -1
   -1	   29	   -1	   -1	   -1
   -1	   30	   -1	   -1	   -1
 
    9	   13	   12	    5	   20
   10	   14	    0	   30	   -1
   11	    1	    4	   19	   -1
   15	    3	   24	   21	   -1
    2	    6	   28	   22	   -1
   25	    7	   16	   23	   -1
   -1	   26	   -1	   -1	   -1
   -1	   27	   -1	   -1	   -1
   -1	   29	   -1	   -1	   -1
   -1	   31	   -1	   -1	   -1
   -1	   17	   -1	   -1	   -1
   -1	   18	   -1	   -1	   -1
 
    8	   12	   13	   14	   21
   10	   15	    1	    3	   -1
   11	    0	    5	    4	   -1
   24	    2	   25	   20	   -1
   31	    6	   29	   22	   -1
   18	    7	   17	   23	   -1
   -1	   26	   -1	   -1	   -1
   -1	   27	   -1	   -1	   -1
   -1	   28	   -1	   -1	   -1
   -1	   30	   -1	   -1	   -1
   -1	   16	   -1	   -1	   -1
   -1	   19	   -1	   -1	   -1
 
    8	   12	   14	   13	   22
    9	   15	    2	   27	   -1
   11	    1	    6	   28	   -1
    0	    3	   26	   20	   -1
    7	    4	   30	   21	   -1
   17	    5	   18	   23	   -1
   -1	   24	   -1	   -1	   -1
   -1	   25	   -1	   -1	   -1
   -1	   29	   -1	   -1	   -1
   -1	   31	   -1	   -1	   -1
   -1	   16	   -1	   -1	   -1
   -1	   19	   -1	   -1	   -1
 
    8	   13	   15	    1	   23
    9	   14	    3	   26	   -1
   10	    0	    7	   16	   -1
   12	    2	   27	   20	   -1
    6	    4	   31	   21	   -1
   29	    5	   19	   22	   -1
   -1	   24	   -1	   -1	   -1
   -1	   25	   -1	   -1	   -1
   -1	   28	   -1	   -1	   -1
   -1	   30	   -1	   -1	   -1
   -1	   17	   -1	   -1	   -1
   -1	   18	   -1	   -1	   -1
 
   13	    9	    8	    1	   16
   14	   10	    4	   26	   -1
   15	    5	    0	   23	   -1
   11	    7	   28	   17	   -1
    6	    2	   24	   18	   -1
   29	    3	   20	   19	   -1
   -1	   30	   -1	   -1	   -1
   -1	   31	   -1	   -1	   -1
   -1	   25	   -1	   -1	   -1
   -1	   27	   -1	   -1	   -1
   -1	   21	   -1	   -1	   -1
   -1	   22	   -1	   -1	   -1
 
   12	    8	    9	   10	   17
   14	   11	    5	    7	   -1
   15	    4	    1	    0	   -1
   28	    6	   29	   16	   -1
   27	    2	   25	   18	   -1
   22	    3	   21	   19	   -1
   -1	   30	   -1	   -1	   -1
   -1	   31	   -1	   -1	   -1
   -1	   24	   -1	   -1	   -1
   -1	   26	   -1	   -1	   -1
   -1	   20	   -1	   -1	   -1
   -1	   23	   -1	   -1	   -1
 
   12	    8	   10	    9	   18
   13	   11	    6	   31	   -1
   15	    5	    2	   24	   -1
    4	    7	   30	   16	   -1
    3	    0	   26	   17	   -1
   21	    1	   22	   19	   -1
   -1	   28	   -1	   -1	   -1
   -1	   29	   -1	   -1	   -1
   -1	   25	   -1	   -1	   -1
   -1	   27	   -1	   -1	   -1
   -1	   20	   -1	   -1	   -1
   -1	   23	   -1	   -1	   -1
 
   12	    9	   11	    5	   19
   13	   10	    7	   30	   -1
   14	    4	    3	   20	   -1
    8	    6	   31	   16	   -1
    2	    0	   27	   17	   -1
   25	    1	   23	   18	   -1
   -1	   28	   -1	   -1	   -1
   -1	   29	   -1	   -1	   -1
   -1	   24	   -1	   -1	   -1
   -1	   26	   -1	   -1	   -1
   -1	   21	   -1	   -1	   -1
   -1	   22	   -1	   -1	   -1
 
   17	   21	   20	   29	   12
   18	   22	   24	    6	   -1
   19	   25	   28	   11	   -1
   23	   27	    0	   13	   -1
   26	   30	    4	   14	   -1
    1	   31	    8	   15	   -1
   -1	    2	   -1	   -1	   -1
   -1	    3	   -1	   -1	   -1
   -1	    5	   -1	   -1	   -1
   -1	    7	   -1	   -1	   -1
   -1	    9	   -1	   -1	   -1
   -1	   10	   -1	   -1	   -1
 
   16	   20	   21	   22	   13
   18	   23	   25	   27	   -1
   19	   24	   29	   28	   -1
    0	   26	    1	   12	   -1
    7	   30	    5	   14	   -1
   10	   31	    9	   15	   -1
   -1	    2	   -1	   -1	   -1
   -1	    3	   -1	   -1	   -1
   -1	    4	   -1	   -1	   -1
   -1	    6	   -1	   -1	   -1
   -1	    8	   -1	   -1	   -1
   -1	   11	   -1	   -1	   -1
 
   16	   20	   22	   21	   14
   17	   23	   26	    3	   -1
   19	   25	   30	    4	   -1
   24	   27	    2	   12	   -1
   31	   28	    6	   13	   -1
    9	   29	   10	   15	   -1
   -1	    0	   -1	   -1	   -1
   -1	    1	   -1	   -1	   -1
   -1	    5	   -1	   -1	   -1
   -1	    7	   -1	   -1	   -1
   -1	    8	   -1	   -1	   -1
   -1	   11	   -1	   -1	   -1
 
   16	   21	   23	   25	   15
   17	   22	   27	    2	   -1
   18	   24	   31	    8	   -1
   20	   26	    3	   12	   -1
   30	   28	    7	   13	   -1
    5	   29	   11	   14	   -1
   -1	    0	   -1	   -1	   -1
   -1	    1	   -1	   -1	   -1
   -1	    4	   -1	   -1	   -1
   -1	    6	   -1	   -1	   -1
   -1	    9	   -1	   -1	   -1
   -1	   10	   -1	   -1	   -1
 
   21	   17	   16	   25	    8
   22	   18	   28	    2	   -1
   23	   29	   24	   15	   -1
   19	   31	    4	    9	   -1
   30	   26	    0	   10	   -1
    5	   27	   12	   11	   -1
   -1	    6	   -1	   -1	   -1
   -1	    7	   -1	   -1	   -1
   -1	    1	   -1	   -1	   -1
   -1	    3	   -1	   -1	   -1
   -1	   13	   -1	   -1	   -1
   -1	   14	   -1	   -1	   -1
 
   20	   16	   17	   18	    9
   22	   19	   29	   31	   -1
   23	   28	   25	   24	   -1
    4	   30	    5	    8	   -1
    3	   26	    1	   10	   -1
   14	   27	   13	   11	   -1
   -1	    6	   -1	   -1	   -1
   -1	    7	   -1	   -1	   -1
   -1	    0	   -1	   -1	   -1
   -1	    2	   -1	   -1	   -1
   -1	   12	   -1	   -1	   -1
   -1	   15	   -1	   -1	   -1
 
   20	   16	   18	   17	   10
   21	   19	   30	    7	   -1
   23	   29	   26	    0	   -1
   28	   31	    6	    8	   -1
   27	   24	    2	    9	   -1
   13	   25	   14	   11	   -1
   -1	    4	   -1	   -1	   -1
   -1	    5	   -1	   -1	   -1
   -1	    1	   -1	   -1	   -1
   -1	    3	   -1	   -1	   -1
   -1	   12	   -1	   -1	   -1
   -1	   15	   -1	   -1	   -1
 
   20	   17	   19	   29	   11
   21	   18	   31	    6	   -1
   22	   28	   27	   12	   -1
   16	   30	    7	    8	   -1
   26	   24	    3	    9	   -1
    1	   25	   15	   10	   -1
   -1	    4	   -1	   -1	   -1
   -1	    5	   -1	   -1	   -1
   -1	    0	   -1	   -1	   -1
   -1	    2	   -1	   -1	   -1
   -1	   13	   -1	   -1	   -1
   -1	   14	   -1	   -1	   -1
 
   25	   29	   28	   21	    4
   26	   30	   16	   14	   -1
   27	   17	   20	    3	   -1
   31	   19	    8	    5	   -1
   18	   22	   12	    6	   -1
    9	   23	    0	    7	   -1
   -1	   10	   -1	   -1	   -1
   -1	   11	   -1	   -1	   -1
   -1	   13	   -1	   -1	   -1
   -1	   15	   -1	   -1	   -1
   -1	    1	   -1	   -1	   -1
   -1	    2	   -1	   -1	   -1
 
   24	   28	   29	   30	    5
   26	   31	   17	   19	   -1
   27	   16	   21	   20	   -1
    8	   18	    9	    4	   -1
   15	   22	   13	    6	   -1
    2	   23	    1	    7	   -1
   -1	   10	   -1	   -1	   -1
   -1	   11	   -1	   -1	   -1
   -1	   12	   -1	   -1	   -1
   -1	   14	   -1	   -1	   -1
   -1	    0	   -1	   -1	   -1
   -1	    3	   -1	   -1	   -1
 
   24	   28	   30	   29	    6
   25	   31	   18	   11	   -1
   27	   17	   22	   12	   -1
   16	   19	   10	    4	   -1
   23	   20	   14	    5	   -1
    1	   21	    2	    7	   -1
   -1	    8	   -1	   -1	   -1
   -1	    9	   -1	   -1	   -1
   -1	   13	   -1	   -1	   -1
   -1	   15	   -1	   -1	   -1
   -1	    0	   -1	   -1	   -1
   -1	    3	   -1	   -1	   -1
 
   24	   29	   31	   17	    7
   25	   30	   19	   10	   -1
   26	   16	   23	    0	   -1
   28	   18	   11	    4	   -1
   22	   20	   15	    5	   -1
   13	   21	    3	    6	   -1
   -1	    8	   -1	   -1	   -1
   -1	    9	   -1	   -1	   -1
   -1	   12	   -1	   -1	   -1
   -1	   14	   -1	   -1	   -1
   -1	    1	   -1	   -1	   -1
   -1	    2	   -1	   -1	   -1
 
   29	   25	   24	   17	    0
   30	   26	   20	   10	   -1
   31	   21	   16	    7	   -1
   27	   23	   12	    1	   -1
   22	   18	    8	    2	   -1
   13	   19	    4	    3	   -1
   -1	   14	   -1	   -1	   -1
   -1	   15	   -1	   -1	   -1
   -1	    9	   -1	   -1	   -1
   -1	   11	   -1	   -1	   -1
   -1	    5	   -1	   -1	   -1
   -1	    6	   -1	   -1	   -1
 
   28	   24	   25	   26	    1
   30	   27	   21	   23	   -1
   31	   20	   17	   16	   -1
   12	   22	   13	    0	   -1
   11	   18	    9	    2	   -1
    6	   19	    5	    3	   -1
   -1	   14	   -1	   -1	   -1
   -1	   15	   -1	   -1	   -1
   -1	    8	   -1	   -1	   -1
   -1	   10	   -1	   -1	   -1
